;order;family;n;mean_c;median_c;sd_c;min_c;max_c;source
Guibemantis_liber;Anura;Mantellidae;1;4.8;4.8;NA;4.8;4.8;gsDB
Guibemantis_pulcher;Anura;Mantellidae;1;5.7;5.7;NA;5.7;5.7;gsDB
Gymnopis_multiplicata;Gymnophiona;Dermophiidae;1;3.7;3.7;NA;3.7;3.7;gsDB
Gyrinophilus_porphyriticus;Urodela;Plethodontidae;6;20.785;22.23;5.330698828;10.12;24.83;gsDB
Hemidactylium_scutatum;Urodela;Plethodontidae;2;32.45;32.45;0.212132034;32.3;32.6;gsDB
Hemiphractus_proboscideus;Anura;Hemiphractidae;2;3.301584793;3.301584793;0.572386826;2.896846186;3.706323399;EBD
Hemisus_marmoratus;Anura;Hemisotidae;3;4.011038046;3.90054735;0.669862232;3.403290737;4.729276052;EBD
Herpele_squalostoma;Gymnophiona;Herpelidae;2;11.15237835;11.15237835;0.077945686;11.09726242;11.20749427;EBD
Heterixalus_betsileo;Anura;Hyperoliidae;1;4.25;4.25;NA;4.25;4.25;gsDB
Heterixalus_madagascariensis;Anura;Hyperoliidae;2;4.825;4.825;0.247487373;4.65;5;gsDB
Heterixalus_variabilis;Anura;Hyperoliidae;1;5.55;5.55;NA;5.55;5.55;gsDB
Hoplobatrachus_rugulosus;Anura;Dicroglossidae;2;3.095;3.095;0.940452019;2.43;3.76;gsDB
Hoplobatrachus_tigerinus;Anura;Dicroglossidae;4;5.075;5.02;0.482251663;4.55;5.71;gsDB
Hydromantes_platycephalus;Urodela;Plethodontidae;1;50;50;NA;50;50;gsDB
Hyla_arborea;Anura;Hylidae;7;4.754285714;4.76;1.371226424;2.4;7;gsDB
Hyla_meridionalis;Anura;Hylidae;2;4.78715956;4.78715956;0.01809663;4.774363311;4.79995581;EBD
Hyla_savignyi;Anura;Hylidae;3;3.56;4.06;1.484553805;1.89;4.73;gsDB
Hylarana_erythraea;Anura;Ranidae;1;3.33;3.33;NA;3.33;3.33;gsDB
Hyliola_regilla;Anura;Hylidae;1;3.81;3.81;NA;3.81;3.81;gsDB
Hymenochirus_boettgeri;Anura;Pipidae;3;4.02469062;4.012580123;0.261739261;3.769216821;4.292274916;EBD
Hynobius_dunni;Urodela;Hynobiidae;1;16.88;16.88;NA;16.88;16.88;gsDB
Hynobius_naevius;Urodela;Hynobiidae;1;20.45;20.45;NA;20.45;20.45;gsDB
Hynobius_nebulosus;Urodela;Hynobiidae;1;19.2;19.2;NA;19.2;19.2;gsDB
Hynobius_retardatus;Urodela;Hynobiidae;1;16.16;16.16;NA;16.16;16.16;gsDB
Hynobius_tsuensis;Urodela;Hynobiidae;1;16.48;16.48;NA;16.48;16.48;gsDB
Hyperolius_concolor;Anura;Hyperoliidae;1;5.1;5.1;NA;5.1;5.1;gsDB
Hyperolius_marmoratus;Anura;Hyperoliidae;2;4.735;4.735;0.502045815;4.38;5.09;gsDB
Hyperolius_nasutus;Anura;Hyperoliidae;1;3.81;3.81;NA;3.81;3.81;gsDB
Hyperolius_pusillus;Anura;Hyperoliidae;1;3.38;3.38;NA;3.38;3.38;gsDB
Hypogeophis_rostratus;Gymnophiona;Indotyphlidae;3;5.566500242;5.653213694;0.227038985;5.308883665;5.737403366;EBD
Hypselotriton_orientalis;Urodela;Salamandridae;1;44.27;44.27;NA;44.27;44.27;gsDB
Hypsiboas_albomarginatus;Anura;Hylidae;1;2.63;2.63;NA;2.63;2.63;gsDB
Hypsiboas_bischoffi;Anura;Hylidae;1;3.71;3.71;NA;3.71;3.71;gsDB
Hypsiboas_cinerascens;Anura;Hylidae;1;4.53;4.53;NA;4.53;4.53;gsDB
Hypsiboas_crepitans;Anura;Hylidae;1;4.83;4.83;NA;4.83;4.83;gsDB
Hypsiboas_faber;Anura;Hylidae;1;2.73;2.73;NA;2.73;2.73;gsDB
Hypsiboas_geographicus;Anura;Hylidae;1;3.28;3.28;NA;3.28;3.28;gsDB
Hypsiboas_heilprini;Anura;Hylidae;1;3.76;3.76;NA;3.76;3.76;gsDB
Hypsiboas_lanciformis;Anura;Hylidae;1;6.61;6.61;NA;6.61;6.61;gsDB
Hypsiboas_polytaenius;Anura;Hylidae;1;2.35;2.35;NA;2.35;2.35;gsDB
Hypsiboas_prasinus;Anura;Hylidae;1;5.15;5.15;NA;5.15;5.15;gsDB
Ichthyophis_glutinosus;Gymnophiona;Ichthyophiidae;2;11.79833866;11.79833866;0.465155337;11.46942417;12.12725315;EBD
Ichthyosaura_alpestris;Urodela;Salamandridae;12;27.625;28.79;2.263378408;23.7;29.88;gsDB
Incilius_alvarius;Anura;Bufonidae;1;5.65;5.65;NA;5.65;5.65;gsDB
Incilius_nebulifer;Anura;Bufonidae;1;4.23;4.23;NA;4.23;4.23;gsDB
Incilius_valliceps;Anura;Bufonidae;1;4.6;4.6;NA;4.6;4.6;gsDB
Indotyphlus_maharashtraensis;Gymnophiona;Indotyphlidae;1;5.933773646;5.933773646;NA;5.933773646;5.933773646;EBD
Isthmura_bellii;Urodela;Plethodontidae;1;46.6;46.6;NA;46.6;46.6;gsDB
Karsenia_koreana;Urodela;Plethodontidae;1;52.1;52.1;NA;52.1;52.1;gsDB
Kassina_senegalensis;Anura;Hyperoliidae;1;4.47;4.47;NA;4.47;4.47;gsDB
Kurixalus_appendiculatus;Anura;Rhacophoridae;2;2.693029265;2.693029265;0.002735028;2.691095308;2.694963221;EBD
Laliostoma_labrosum;Anura;Mantellidae;1;3.25;3.25;NA;3.25;3.25;gsDB
Leiopelma_archeyi;Anura;Leiopelmatidae;1;8.44;8.44;NA;8.44;8.44;gsDB
Leiopelma_hochstetteri;Anura;Leiopelmatidae;1;8.63;8.63;NA;8.63;8.63;gsDB
Leptodactylus_bolivianus;Anura;Leptodactylidae;1;1.51;1.51;NA;1.51;1.51;gsDB
Leptodactylus_fuscus;Anura;Leptodactylidae;2;2.65;2.65;0.282842712;2.45;2.85;gsDB
Leptodactylus_knudseni;Anura;Leptodactylidae;2;3.775;3.775;1.166726189;2.95;4.6;gsDB
Leptodactylus_melanonotus;Anura;Leptodactylidae;1;2.52;2.52;NA;2.52;2.52;gsDB
Leptodactylus_pentadactylus;Anura;Leptodactylidae;1;4.47;4.47;NA;4.47;4.47;gsDB
Leptolalax_pelodytoides;Anura;Megophryidae;1;2.57;2.57;NA;2.57;2.57;gsDB
Leptopelis_brevirostris;Anura;Arthroleptidae;3;5.622587662;5.598801254;0.431193267;5.203779939;6.065181793;EBD
Leptopelis_vermiculatus;Anura;Arthroleptidae;1;3.097822239;3.097822239;NA;3.097822239;3.097822239;EBD
Limnodynastes_dumerilii;Anura;Limnodynastidae;1;3.25;3.25;NA;3.25;3.25;gsDB
Limnodynastes_fletcheri;Anura;Limnodynastidae;1;3.79;3.79;NA;3.79;3.79;gsDB
Limnodynastes_peronii;Anura;Limnodynastidae;3;2.21;2.25;0.890673902;1.3;3.08;gsDB
Limnodynastes_tasmaniensis;Anura;Limnodynastidae;1;2.4;2.4;NA;2.4;2.4;gsDB
Limnodynastes_terraereginae;Anura;Limnodynastidae;1;1.95;1.95;NA;1.95;1.95;gsDB
Lissotriton_boscai;Urodela;Salamandridae;2;30.845;30.845;2.708218972;28.93;32.76;gsDB
Lissotriton_helveticus;Urodela;Salamandridae;3;26.80333333;26.34;1.937016606;25.14;28.93;gsDB
Lissotriton_italicus;Urodela;Salamandridae;1;22;22;NA;22;22;gsDB
Lissotriton_montandoni;Urodela;Salamandridae;3;28.69;28.89;1.242135258;27.36;29.82;gsDB
Lissotriton_vulgaris;Urodela;Salamandridae;14;26.85714286;27.42;2.011503183;24.15;30;gsDB
Lithobates_areolatus;Anura;Ranidae;3;5.783333333;6.43;1.120059522;4.49;6.43;gsDB
Lithobates_catesbeianus;Anura;Ranidae;16;7.123125;7.045;1.046127581;5.2;9;gsDB
Lithobates_clamitans;Anura;Ranidae;3;6.846666667;7.17;0.928242066;5.8;7.57;gsDB
Lithobates_grylio;Anura;Ranidae;1;4.25;4.25;NA;4.25;4.25;gsDB
Lithobates_heckscheri;Anura;Ranidae;1;6.52;6.52;NA;6.52;6.52;gsDB
Lithobates_palustris;Anura;Ranidae;3;6.313333333;6.37;0.098149546;6.2;6.37;gsDB
Lithobates_septentrionalis;Anura;Ranidae;2;8.16;8.16;0.113137085;8.08;8.24;gsDB
Lithobates_sphenocephalus;Anura;Ranidae;3;6.803333333;7.5;1.206662063;5.41;7.5;gsDB
Lithobates_sylvaticus;Anura;Ranidae;5;5.932;5.83;0.369079937;5.49;6.5;gsDB
Litoria_bicolor;Anura;Pelodryadidae;1;4.79;4.79;NA;4.79;4.79;gsDB
Luetkenotyphlus_brasiliensis;Gymnophiona;Siphonopidae;1;8.869577226;8.869577226;NA;8.869577226;8.869577226;EBD
Mannophryne_trinitatis;Anura;Aromobatidae;1;2.98;2.98;NA;2.98;2.98;gsDB
Mantella_aurantiaca;Anura;Mantellidae;1;4.8;4.8;NA;4.8;4.8;gsDB
Mantella_betsileo;Anura;Mantellidae;1;5.3;5.3;NA;5.3;5.3;gsDB
Mantella_cowanii;Anura;Mantellidae;1;5.5;5.5;NA;5.5;5.5;gsDB
Mantidactylus_aerumnalis;Anura;Mantellidae;1;4.8;4.8;NA;4.8;4.8;gsDB
Mantidactylus_betsileanus;Anura;Mantellidae;1;4.15;4.15;NA;4.15;4.15;gsDB
Mantidactylus_biporus;Anura;Mantellidae;2;4.55;4.55;0.141421356;4.45;4.65;gsDB
Mantidactylus_curtus;Anura;Mantellidae;1;4.7;4.7;NA;4.7;4.7;gsDB
Mantidactylus_femoralis;Anura;Mantellidae;1;4.65;4.65;NA;4.65;4.65;gsDB
Mantidactylus_lugubris;Anura;Mantellidae;1;5.25;5.25;NA;5.25;5.25;gsDB
Megophrys_nasuta;Anura;Megophryidae;1;1.827082644;1.827082644;NA;1.827082644;1.827082644;EBD
Microhyla_ornata;Anura;Microhylidae;1;5.15;5.15;NA;5.15;5.15;gsDB
Nectophrynoides_tornieri;Anura;Bufonidae;2;3.671180286;3.671180286;0.713757011;3.166477863;4.175882709;EBD
Necturus_lewisi;Urodela;Proteidae;2;120.565;120.565;0.049497475;120.53;120.6;gsDB
Necturus_maculosus;Urodela;Proteidae;7;85.95714286;82.55;5.335446605;80.5;95;gsDB
Necturus_punctatus;Urodela;Proteidae;2;119.225;119.225;0.049497475;119.19;119.26;gsDB
Neobatrachus_pictus;Anura;Limnodynastidae;1;2.77;2.77;NA;2.77;2.77;gsDB
Neobatrachus_sudelli;Anura;Limnodynastidae;1;2.615;2.615;NA;2.615;2.615;gsDB
Neurergus_crocatus;Urodela;Salamandridae;1;34.97;34.97;NA;34.97;34.97;gsDB
Neurergus_kaiseri;Urodela;Salamandridae;1;37.98;37.98;NA;37.98;37.98;gsDB
Neurergus_strauchii;Urodela;Salamandridae;1;25.67;25.67;NA;25.67;25.67;gsDB
Nimbaphrynoides_occidentalis;Anura;Bufonidae;3;3.15965387;3.379117059;0.760339155;2.313720834;3.786123716;EBD
Notophthalmus_viridescens;Urodela;Salamandridae;11;37.73909091;38;4.308857052;30.03;44.5;gsDB
Nototriton_picadoi;Urodela;Plethodontidae;1;28.1;28.1;NA;28.1;28.1;gsDB
Nyctanolis_pernix;Urodela;Plethodontidae;1;28;28;NA;28;28;gsDB
Odontophrynus_americanus;Anura;Odontophrynidae;2;1.6225;1.6225;0.109601551;1.545;1.7;gsDB
Odontophrynus_carvalhoi;Anura;Odontophrynidae;1;1.58;1.58;NA;1.58;1.58;gsDB
Odontophrynus_cultripes;Anura;Odontophrynidae;2;2.155;2.155;0.120208153;2.07;2.24;gsDB
Odontophrynus_occidentalis;Anura;Odontophrynidae;1;1.58;1.58;NA;1.58;1.58;gsDB
Odorrana_livida;Anura;Ranidae;1;6.34;6.34;NA;6.34;6.34;gsDB
Oedipina_poelzi;Urodela;Plethodontidae;1;52.2;52.2;NA;52.2;52.2;gsDB
Oedipina_pseudouniformis;Urodela;Plethodontidae;1;40.9;40.9;NA;40.9;40.9;gsDB
Oedipina_uniformis;Urodela;Plethodontidae;1;44.9;44.9;NA;44.9;44.9;gsDB
Ommatotriton_ophryticus;Urodela;Salamandridae;4;32.3825;32.595;1.381192118;30.51;33.83;gsDB
Onychodactylus_fischeri;Urodela;Hynobiidae;1;47.54;47.54;NA;47.54;47.54;gsDB
Oophaga_pumilio;Anura;Dendrobatidae;2;4.688845022;4.688845022;0.155518008;4.578877184;4.798812861;EBD
Oscaecilia_ochrocephala;Gymnophiona;Caeciliidae;1;4.817964504;4.817964504;NA;4.817964504;4.817964504;EBD
Osteocephalus_taurinus;Anura;Hylidae;1;2.4;2.4;NA;2.4;2.4;gsDB
Osteopilus_ocellatus;Anura;Hylidae;1;1.83;1.83;NA;1.83;1.83;gsDB
Osteopilus_septentrionalis;Anura;Hylidae;1;1.95;1.95;NA;1.95;1.95;gsDB
Osteopilus_vastus;Anura;Hylidae;1;2.53;2.53;NA;2.53;2.53;gsDB
Pachytriton_brevipes;Urodela;Salamandridae;1;39.8;39.8;NA;39.8;39.8;gsDB
Pachytriton_granulosus;Urodela;Salamandridae;1;47.25;47.25;NA;47.25;47.25;gsDB
Paramesotriton_chinensis;Urodela;Salamandridae;2;43.09;43.09;12.85520128;34;52.18;gsDB
Paramesotriton_deloustali;Urodela;Salamandridae;1;50.48;50.48;NA;50.48;50.48;gsDB
Paramesotriton_hongkongensis;Urodela;Salamandridae;1;51;51;NA;51;51;gsDB
Parvimolge_townsendi;Urodela;Plethodontidae;1;20.8;20.8;NA;20.8;20.8;gsDB
Pelobates_cultripes;Anura;Pelobatidae;3;4.004329302;3.956593411;0.204076434;3.82835192;4.228042574;EBD
Pelobates_fuscus;Anura;Pelobatidae;7;4.538571429;4.47;0.577795482;3.9;5.49;gsDB
Pelobates_syriacus;Anura;Pelobatidae;3;4.033333333;3.96;0.434664622;3.64;4.5;gsDB
Pelodytes_caucasicus;Anura;Pelodytidae;2;2.27;2.27;0.381837662;2;2.54;gsDB
Pelodytes_punctatus;Anura;Pelodytidae;1;2.44;2.44;NA;2.44;2.44;gsDB
Pelophylax_esculentus;Anura;Ranidae;13;7.046153846;6.75;1.576174369;5.6;11.53;gsDB
Pelophylax_lessonae;Anura;Ranidae;3;6.603333333;6.43;0.417891533;6.3;7.08;gsDB
Pelophylax_nigromaculatus;Anura;Ranidae;3;5.966666667;6;0.1040833;5.85;6.05;gsDB
Pelophylax_perezi;Anura;Ranidae;4;7.108320478;7.100617541;0.742331296;6.207095754;8.024951076;EBD
Pelophylax_porosus;Anura;Ranidae;1;5.95;5.95;NA;5.95;5.95;gsDB
Pelophylax_ridibundus;Anura;Ranidae;5;7.236;7.66;1.074397506;5.51;8.1;gsDB
Pelophylax_shqipericus;Anura;Ranidae;1;7.17;7.17;NA;7.17;7.17;gsDB
Petropedetes_cameronensis;Anura;Petropedetidae;1;1.088462653;1.088462653;NA;1.088462653;1.088462653;EBD
Phrynobatrachus_krefftii;Anura;Phrynobatrachidae;2;1.692412417;1.692412417;0.142224198;1.591844722;1.792980112;EBD
Phrynobatrachus_natalensis;Anura;Phrynobatrachidae;1;1.433675882;1.433675882;NA;1.433675882;1.433675882;EBD
Phyllomedusa_bicolor;Anura;Phyllomedusidae;1;6.75;6.75;NA;6.75;6.75;gsDB
Phyllomedusa_burmeisteri;Anura;Phyllomedusidae;2;6.545;6.545;0.049497475;6.51;6.58;gsDB
Physalaemus_biligonigerus;Anura;Leptodactylidae;1;1.86;1.86;NA;1.86;1.86;gsDB
Physalaemus_nattereri;Anura;Leptodactylidae;1;1.75;1.75;NA;1.75;1.75;gsDB
Pipa_pipa;Anura;Pipidae;1;2.43;2.43;NA;2.43;2.43;gsDB
