;order;family;n;mean_c;median_c;sd_c;min_c;max_c;source
Pseudotriton_ruber;Urodela;Plethodontidae;4;25.035;24.65;0.995104685;24.34;26.5;gsDB
Ptychadena_mascareniensis;Anura;Ptychadenidae;1;3.35;3.35;NA;3.35;3.35;gsDB
Pyxicephalus_adspersus;Anura;Pyxicephalidae;1;1.4;1.4;NA;1.4;1.4;gsDB
Quasipaa_boulengeri;Anura;Dicroglossidae;2;3.085;3.085;0.035355339;3.06;3.11;gsDB
Rana_amurensis;Anura;Ranidae;1;5.27;5.27;NA;5.27;5.27;gsDB
Rana_arvalis;Anura;Ranidae;7;6.045714286;6.18;1.037960454;4.65;7.17;gsDB
Rana_aurora;Anura;Ranidae;1;9.19;9.19;NA;9.19;9.19;gsDB
Rana_cascadae;Anura;Ranidae;3;8.01;7.91;0.576541412;7.49;8.63;gsDB
Rana_chensinensis;Anura;Ranidae;4;5.12;5.34;0.817679644;4;5.8;gsDB
Rana_dalmatina;Anura;Ranidae;3;5.243333333;5.32;0.757913803;4.45;5.96;gsDB
Rana_dybowskii;Anura;Ranidae;2;4.275;4.275;0.247487373;4.1;4.45;gsDB
Rana_graeca;Anura;Ranidae;1;7.67;7.67;NA;7.67;7.67;gsDB
Rana_italica;Anura;Ranidae;1;5.66;5.66;NA;5.66;5.66;gsDB
Rana_japonica;Anura;Ranidae;2;5.075;5.075;0.035355339;5.05;5.1;gsDB
Rana_latastei;Anura;Ranidae;1;6.8;6.8;NA;6.8;6.8;gsDB
Rana_macrocnemis;Anura;Ranidae;2;6.055;6.055;0.431335137;5.75;6.36;gsDB
Rana_ornativentris;Anura;Ranidae;2;4.75;4.75;0.141421356;4.65;4.85;gsDB
Rana_pretiosa;Anura;Ranidae;2;9.195;9.195;0.205060967;9.05;9.34;gsDB
Rana_pyrenaica;Anura;Ranidae;1;4.234223976;4.234223976;NA;4.234223976;4.234223976;EBD
Rana_tagoi;Anura;Ranidae;1;5.3;5.3;NA;5.3;5.3;gsDB
Rana_temporaria;Anura;Ranidae;10;4.263;4.49;0.591402288;3.31;4.91;gsDB
Rana_tsushimensis;Anura;Ranidae;2;5.25;5.25;0.141421356;5.15;5.35;gsDB
Ranodon_sibiricus;Urodela;Hynobiidae;2;24.075;24.075;1.803122292;22.8;25.35;gsDB
Ranoidea_alboguttata;Anura;Pelodryadidae;1;2.85;2.85;NA;2.85;2.85;gsDB
Rhacophorus_pardalis;Anura;Rhacophoridae;2;2.675302647;2.675302647;0.155970835;2.565014612;2.785590681;EBD
Rhinatrema_bivittatum;Gymnophiona;Rhinatrematidae;2;4.471551209;4.471551209;0.272082528;4.279159809;4.66394261;EBD
Rhinella_crucifer;Anura;Bufonidae;1;3.15;3.15;NA;3.15;3.15;gsDB
Rhinella_icterica;Anura;Bufonidae;1;2.91;2.91;NA;2.91;2.91;gsDB
Rhinella_marina;Anura;Bufonidae;8;4.78625;4.76;0.680754571;3.98;5.65;gsDB
Rhinella_schneideri;Anura;Bufonidae;1;3.29;3.29;NA;3.29;3.29;gsDB
Rhinophrynus_dorsalis;Anura;Rhinophrynidae;1;4.79;4.79;NA;4.79;4.79;gsDB
Rhyacotriton_olympicus;Urodela;Rhyacotritonidae;2;66.6;66.6;6.505382387;62;71.2;gsDB
Salamandra_atra;Urodela;Salamandridae;1;32.55;32.55;NA;32.55;32.55;gsDB
Salamandra_infraimmaculata;Urodela;Salamandridae;1;39.3;39.3;NA;39.3;39.3;gsDB
Salamandra_salamandra;Urodela;Salamandridae;10;35.235;35.335;4.734326774;27.13;41.06;gsDB
Salamandrella_keyserlingii;Urodela;Hynobiidae;2;24.62;24.62;4.412346315;21.5;27.74;gsDB
Salamandrina_terdigitata;Urodela;Salamandridae;1;20.6;20.6;NA;20.6;20.6;gsDB
Scaphiopus_couchii;Anura;Scaphiopodidae;6;1.483479786;1.644466517;0.349732912;1.01;1.8;EBD
Scaphiopus_holbrookii;Anura;Scaphiopodidae;3;1.383333333;1.4;0.037859389;1.34;1.41;gsDB
Schistometopum_gregorii;Gymnophiona;Dermophiidae;1;8.342427128;8.342427128;NA;8.342427128;8.342427128;EBD
Scinax_fuscomarginatus;Anura;Hylidae;1;2.28;2.28;NA;2.28;2.28;gsDB
Scinax_ruber;Anura;Hylidae;3;3.38;3;0.846581361;2.79;4.35;gsDB
Scinax_x-signatus;Anura;Hylidae;1;3.76;3.76;NA;3.76;3.76;gsDB
Sclerophrys_maculata;Anura;Bufonidae;1;3.31;3.31;NA;3.31;3.31;gsDB
Sclerophrys_pardalis;Anura;Bufonidae;1;7.31;7.31;NA;7.31;7.31;gsDB
Sclerophrys_regularis;Anura;Bufonidae;3;3.863333333;3.99;0.659191424;3.15;4.45;gsDB
Scolecomorphus_vittatus;Gymnophiona;Scolecomorphidae;1;6.607296347;6.607296347;NA;6.607296347;6.607296347;EBD
Siphonops_annulatus;Gymnophiona;Siphonopidae;2;11.02730783;11.02730783;4.133310902;8.104615664;13.95;EBD
Siren_intermedia;Urodela;Sirenidae;3;54.51333333;54;1.030792575;53.84;55.7;gsDB
Siren_lacertina;Urodela;Sirenidae;3;56.39666667;57;1.213273808;55;57.19;gsDB
Sooglossus_sechellensis;Anura;Sooglossidae;3;1.808872961;1.635448967;0.323045158;1.609575758;2.181594158;EBD
Spea_bombifrons;Anura;Scaphiopodidae;2;1.235;1.235;0.233345238;1.07;1.4;gsDB
Spea_hammondii;Anura;Scaphiopodidae;4;1.625;1.445;0.491290817;1.27;2.34;gsDB
Speleomantes_genei;Urodela;Plethodontidae;1;42.63;42.63;NA;42.63;42.63;gsDB
Speleomantes_italicus;Urodela;Plethodontidae;2;71.65;71.65;6.434671709;67.1;76.2;gsDB
Strauchbufo_raddei;Anura;Bufonidae;1;4.9;4.9;NA;4.9;4.9;gsDB
Sylvirana_maosonensis;Anura;Ranidae;2;5.35;5.35;2.927422074;3.28;7.42;gsDB
Sylvirana_nigrovittata;Anura;Ranidae;1;4.9;4.9;NA;4.9;4.9;gsDB
Tachycnemis_seychellensis;Anura;Hyperoliidae;1;4.066650721;4.066650721;NA;4.066650721;4.066650721;EBD
Taricha_granulosa;Urodela;Salamandridae;5;35.5;35.1;4.27275087;29.56;41.56;gsDB
Taricha_rivularis;Urodela;Salamandridae;3;32.93;30;5.170464196;29.89;38.9;gsDB
Taricha_torosa;Urodela;Salamandridae;4;31.6775;30.06;5.007942858;27.99;38.6;gsDB
Telmatobius_culeus;Anura;Telmatobiidae;1;2.060632667;2.060632667;NA;2.060632667;2.060632667;EBD
Telmatobius_gigas;Anura;Telmatobiidae;3;2.864914732;2.948383878;0.263351983;2.569943228;3.07641709;EBD
Trachycephalus_typhonius;Anura;Hylidae;1;3.35;3.35;NA;3.35;3.35;gsDB
Triturus_carnifex;Urodela;Salamandridae;5;27.412;28.16;4.49276307;21.78;33.5;gsDB
Triturus_cristatus;Urodela;Salamandridae;14;23.46357143;24.875;3.96037218;14.25;27.77;gsDB
Triturus_dobrogicus;Urodela;Salamandridae;5;27.224;27.24;1.029577583;25.55;28.12;gsDB
Triturus_karelinii;Urodela;Salamandridae;2;30.955;30.955;0.84145707;30.36;31.55;gsDB
Triturus_macedonicus;Urodela;Salamandridae;2;28.695;28.695;0.685893578;28.21;29.18;gsDB
Triturus_marmoratus;Urodela;Salamandridae;6;23.57666667;24;2.258368142;20.65;26.61;gsDB
Triturus_pygmaeus;Urodela;Salamandridae;1;26.96;26.96;NA;26.96;26.96;gsDB
Tylototriton_verrucosus;Urodela;Salamandridae;1;24.49;24.49;NA;24.49;24.49;gsDB
Uperodon_systoma;Anura;Microhylidae;1;2;2;NA;2;2;gsDB
Uraeotyphlus_narayani;Gymnophiona;Ichthyophiidae;3;5.519994518;5.450384086;1.036771203;4.519782672;6.589816796;EBD
Xanthophryne_koynayensis;Anura;Bufonidae;1;3.61;3.61;NA;3.61;3.61;gsDB
Xenopus_borealis;Anura;Pipidae;3;3.563333333;3.56;0.085049005;3.48;3.65;gsDB
Xenopus_clivii;Anura;Pipidae;2;4.02;4.02;0.169705627;3.9;4.14;gsDB
Xenopus_fraseri;Anura;Pipidae;1;3.11;3.11;NA;3.11;3.11;gsDB
Xenopus_gilli;Anura;Pipidae;1;3.11;3.11;NA;3.11;3.11;gsDB
Xenopus_laevis;Anura;Pipidae;9;3.303333333;3.15;0.315;3;3.85;gsDB
Xenopus_muelleri;Anura;Pipidae;4;3.7425;3.685;0.239774199;3.52;4.08;gsDB
Xenopus_ruwenzoriensis;Anura;Pipidae;2;7.895;7.895;0.077781746;7.84;7.95;gsDB
Xenopus_tropicalis;Anura;Pipidae;3;1.723333333;1.74;0.215483951;1.5;1.93;gsDB
Xenopus_vestitus;Anura;Pipidae;2;6.095;6.095;0.261629509;5.91;6.28;gsDB
Zachaenus_parvulus;Anura;Cycloramphidae;1;1.93;1.93;NA;1.93;1.93;gsDB
